"metric","Friedman_p","Nemenyi_CD","Mean_Rank_PA","Mean_Rank_PBG","Mean_Rank_PAA","Wilcox_p_AA_BG","Effect_Size_r","Improv_PAA_vs_PBG_pct","Non_Significant_Pairs"
"AE_AUC_scaled",0,0.0371151377988879,13155.9727933801,12462.2319136173,11388.15104979,1.03963562562524e-28,0.115138297473387,16.6283040413101,"NA"
"AE_COR_scaled",0,0.0371151377988879,12646.3503635908,13296.99940012,11041.0558488302,1.07660064365181e-246,0.366848578290698,31.1739845957273,"NA"
"AE_PRG_scaled",0,0.0371151377988879,12791.2076855567,13720.4032993401,10479.0338332334,0,0.493414441155421,37.1798003093441,"NA"
"AE_TSS_scaled",0,0.0371151377988879,13383.5089643932,12629.5346730654,11003.1124175165,2.10775810874194e-85,0.215544340165298,24.7914757159919,"NA"
"AE_Kappa_scaled",0,0.0371151377988879,13213.7006018054,12717.2728854229,11077.8686862627,1.6241937835069e-85,0.215558232805243,24.7914757159919,"NA"
"AE_PCC_scaled",0,0.0371151377988879,13975.4762412237,12332.6439712058,10733.5326934613,9.54378511012072e-86,0.215489413915641,24.7914757159919,"NA"
